Appendix,Scientific_Name
APPENDIX II,Pterocarpus kaessneri
APPENDIX II,Pterocarpus odoratus
APPENDIX II,Pterocarpus stolzii
APPENDIX II,Pterocarpus tinctorius var. macrophyllus
APPENDIX II,Pterocarpus tinctorius var. odoratus
APPENDIX II,Pterocarpus zimmermannii
APPENDIX II,Senna meridionalis
APPENDIX II,Cassia meridionalis
APPENDIX II,Cassia viguierella var. meridionalis
APPENDIX II,"Aloe spp.
(Except the species included in Appendix I. Also excludes Aloe
vera, also referenced as Aloe barbadensis which is not included
in the Appendices.)"
APPENDIX II,Adansonia grandidieri
APPENDIX II,"Cedrela spp.
(Populations of the Neotropics)"
APPENDIX II,Swietenia humilis
APPENDIX II,Swietenia bijuga
APPENDIX II,Swietenia cirrhata
APPENDIX II,Swietenia multijuga
APPENDIX II,"Swietenia macrophylla
(Populations of the Neotropics)"
APPENDIX II,Swietenia belizensis
APPENDIX II,Swietenia candollei
APPENDIX II,Swietenia macrophylla var. marabaensis
APPENDIX II,Swietenia tessmannii
APPENDIX II,Swietenia mahagoni 
APPENDIX II,Cedrela mahagoni
APPENDIX II,Swietenia acutifolia
APPENDIX II,Swietenia fabrilis
APPENDIX II,Swietenia mahagoni var. praecociflora
APPENDIX II,Swietenia mahogani
APPENDIX II,Swietenia mahogoni
APPENDIX II,"Nepenthes spp.
(Except the species included in Appendix I) "
APPENDIX II,"ORCHIDACEAE SPP. 
(Except for the species included in Appendix I)"
APPENDIX II,Cistanche deserticola
APPENDIX II,Cistanche deserticola var. flabellata
APPENDIX II,Beccariophoenix madagascariensis
APPENDIX II,Dypsis decaryi 
APPENDIX II,Neodypsis decaryi
APPENDIX II,Lemurophoenix halleuxii 
APPENDIX II, Marojejya darianii
APPENDIX II,Ravenea louvelii
APPENDIX II,Louvelia madagascariensis 
APPENDIX II, Ravenea rivularis
APPENDIX II, Satranala decussilvae
APPENDIX II, Voanioala gerardii
APPENDIX II,Adenia firingalavensis
APPENDIX II,Adenia firingalavensis var. firingalavensis  
APPENDIX II,Ophiocaulon firingalavense
APPENDIX II,Adenia olaboensis
